"Timestamp","What is your gender? ","  What is your age range?  ","What level are you currently in?  ","What is your current CGPA range?  ","How many courses have you failed or are carrying over? ","What is your father's highest level of education?  ","What is your mother's highest level of education?","What is your family's approximate monthly income level?  ","How many people are financially dependent in your household (including you)?  ","How involved are your parents/guardians in your academic progress?  ","On average, how many hours do you spend studying per day (outside class)?  ","How often do you attend lectures?  ","How often do you read ahead before class?  ","How often do you use academic resources? (library, online journals, YouTube tutorials etc.)  ","How many hours do you sleep on average per night? ","Do you participate actively in group study or discussions?  ","How often do you practice past exam questions?  ","Do you engage in any part-time work or business while schooling?  ","How far do you live from your campus?  ","How stable is your internet access?  ","How would you describe your financial situation as a student?  ","Do you engage in extracurricular activities? (sports, fellowship, clubs etc.) ","How much do your family responsibilities affect your studies?  ","How would you rate your mental health and stress level as a student? ","Are you studying your current course out of personal interest? ","How would you rate your overall motivation to succeed academically?  ","How would you rate your own academic performance overall?  "
"2026/04/04 11:11:45 AM GMT+1","Female","20 – 23","400 Level","3.5 – 4.4 (Second Class Upper)","None","Bachelor's degree","OND / NCE","Above ₦500,000","4 – 6","Very involved — they follow up regularly","More than 4 hours","Often (70–89%)","Never","Very often","More than 8 hours","Yes, regularly","Rarely","Yes, regularly (more than 3 days a week)","On campus","Unstable","Comfortable — I rarely worry about money","No","Not at all","Low — I cope very well","Partially — some interest","High","Good"
"2026/04/04 11:18:55 AM GMT+1","Prefer not to say","20 – 23","400 Level","3.5 – 4.4 (Second Class Upper)","1 – 2","Bachelor's degree","Bachelor's degree","Above ₦500,000","1 – 3","Very involved — they follow up regularly","1 – 2 hours","Sometimes (50–69%)","Rarely","Sometimes","6 – 8 hours","Occasionally","Always before exams","No","On campus","Mostly stable","Manageable — sometimes tight","No","Not at all","Moderate — manageable","Partially — some interest","High","Good"
"2026/04/04 11:25:11 AM GMT+1","Male","20 – 23","600 Level","3.5 – 4.4 (Second Class Upper)","3 – 5","Bachelor's degree","Postgraduate (MSc / PhD)","Above ₦500,000","4 – 6","Somewhat involved","More than 4 hours","Always (90–100%)","Sometimes","Rarely","6 – 8 hours","Occasionally","Always before exams","Occasionally (1 – 2 days a week)","On campus","Very stable","Comfortable — I rarely worry about money","Yes, heavily involved","Not at all","Moderate — manageable","Partially — some interest","Moderate","Average"
"2026/04/04 11:38:06 AM GMT+1","Female","16 – 19","200 Level","2.5 – 3.4 (Second Class Lower)","1 – 2","Primary school","Postgraduate (MSc / PhD)","Below ₦50,000","1 – 3","Not involved at all","Less than 1 hour","Often (70–89%)","Never","Never","4 – 6 hours","No","Rarely","No","On campus","Unstable","Difficult — it regularly affects my studies","No","Moderately","High — it affects my studies","No — I had no other choice","High","Average"
"2026/04/04 12:30:15 PM GMT+1","Female","20 – 23","500 Level","3.5 – 4.4 (Second Class Upper)","None","Bachelor's degree","Bachelor's degree","Above ₦500,000","1 – 3","Very involved — they follow up regularly","1 – 2 hours","Always (90–100%)","Sometimes","Rarely","6 – 8 hours","Occasionally","Sometimes","No","On campus","Mostly stable","Comfortable — I rarely worry about money","Yes, heavily involved","Slightly","Low — I cope very well","Yes, it's my passion","Very high","Excellent"
"2026/04/04 2:30:42 PM GMT+1","Male","20 – 23","400 Level","3.5 – 4.4 (Second Class Upper)","None","Bachelor's degree","Postgraduate (MSc / PhD)","Above ₦500,000","4 – 6","Very involved — they follow up regularly","1 – 2 hours","Often (70–89%)","Rarely","Very often","4 – 6 hours","Occasionally","Sometimes","Occasionally (1 – 2 days a week)","On campus","Mostly stable","Manageable — sometimes tight","Occasionally","Not at all","Moderate — manageable","Yes, it's my passion","High","Good"
"2026/04/04 3:06:01 PM GMT+1","Female","16 – 19","200 Level","4.5 – 5.0 (First Class)","None","Secondary school","OND / NCE","₦150,000 – ₦300,000","1 – 3","Very involved — they follow up regularly","3 – 4 hours","Always (90–100%)","Rarely","Sometimes","6 – 8 hours","Yes, regularly","Always before exams","No","Less than 30 minutes away","Unstable","Comfortable — I rarely worry about money","No","Not at all","High — it affects my studies","No — I had no other choice","Very high","Excellent"
"2026/04/04 3:14:09 PM GMT+1","Prefer not to say","16 – 19","300 Level","3.5 – 4.4 (Second Class Upper)","None","Bachelor's degree","Bachelor's degree","₦300,000 – ₦500,000","1 – 3","Somewhat involved","Less than 1 hour","Sometimes (50–69%)","Never","Very often","Less than 4 hours","Occasionally","Sometimes","Yes, regularly (more than 3 days a week)","Less than 30 minutes away","Unstable","Manageable — sometimes tight","Occasionally","Significantly","Very high — I struggle regularly","Partially — some interest","Low","Average"
"2026/04/04 9:53:12 PM GMT+1","Female","20 – 23","400 Level","3.5 – 4.4 (Second Class Upper)","None","Postgraduate (MSc / PhD)","Bachelor's degree","Above ₦500,000","4 – 6","Somewhat involved","1 – 2 hours","Always (90–100%)","Sometimes","Sometimes","4 – 6 hours","Occasionally","Always before exams","Yes, regularly (more than 3 days a week)","On campus","Mostly stable","Manageable — sometimes tight","Occasionally","Moderately","Moderate — manageable","Partially — some interest","Very high","Good"
"2026/04/04 10:32:00 PM GMT+1","Male","16 – 19","100 Level","4.5 – 5.0 (First Class)","None","Postgraduate (MSc / PhD)","Secondary school","Above ₦500,000","1 – 3","Very involved — they follow up regularly","Less than 1 hour","Always (90–100%)","Rarely","Rarely","4 – 6 hours","No","Rarely","Yes, regularly (more than 3 days a week)","Less than 30 minutes away","Mostly stable","Manageable — sometimes tight","Occasionally","Slightly","Moderate — manageable","Partially — some interest","High","Excellent"
